model_name,pretrained_tag,model_id,arch_family,resnet_depth,resnet_multiplier,patch_size,image_size,training_data,quickgelu,embed_dim,total_params_M,acc_gt_text1,acc_gt_text2,avg_accuracy,worst_group_accuracy,worst_group,best_group_accuracy,best_group,accuracy_gap,total_images,load_time_s,encode_time_s,"acc_obj=country, bg=country, co=country","acc_obj=country, bg=country, co=urban","acc_obj=country, bg=urban, co=country","acc_obj=country, bg=urban, co=urban","acc_obj=urban, bg=country, co=country","acc_obj=urban, bg=country, co=urban","acc_obj=urban, bg=urban, co=country","acc_obj=urban, bg=urban, co=urban",vit_size
EVA02-L-14-336,merged2b_s6b_b61k,EVA02-L-14-336_merged2b_s6b_b61k,EVA,,,14.0,336,Merged-2b,False,,428.1,0.78,0.84,0.81,0.616,"obj=urban, bg=country, co=country",0.928,"obj=urban, bg=urban, co=urban",0.194,1000,14.7,9.2,0.904,0.824,0.848,0.784,0.616,0.776,0.8,0.928,
ViT-L-14-quickgelu,metaclip_fullcc,ViT-L-14-quickgelu_metaclip_fullcc,CLIP,,,14.0,224,CommonCrawl-2.5b,True,768.0,427.6,0.684,0.932,0.808,0.44,"obj=urban, bg=country, co=country",0.952,"obj=country, bg=country, co=country",0.368,1000,20.2,4.0,0.952,0.912,0.944,0.92,0.44,0.704,0.728,0.864,L
ViT-B-16-quickgelu,metaclip_fullcc,ViT-B-16-quickgelu_metaclip_fullcc,CLIP,,,16.0,224,CommonCrawl-2.5b,True,512.0,149.6,0.872,0.742,0.807,0.688,"obj=country, bg=urban, co=urban",0.904,"obj=urban, bg=urban, co=urban",0.1190000000000001,1000,9.7,2.1,0.784,0.72,0.776,0.688,0.832,0.888,0.864,0.904,B
ViT-bigG-14-worldwide,metaclip2_worldwide,ViT-bigG-14-worldwide_metaclip2_worldwide,CLIP,,,14.0,224,MetaCLIP2-2.5b,False,1280.0,3630.4,0.71,0.9,0.805,0.52,"obj=urban, bg=country, co=country",0.936,"obj=country, bg=urban, co=country",0.285,1000,277.4,14.2,0.928,0.864,0.936,0.872,0.52,0.864,0.576,0.88,bigG
ViT-B-32,laion2b_e16,ViT-B-32_laion2b_e16,CLIP,,,32.0,224,LAION-2b,False,512.0,151.3,0.924,0.684,0.804,0.616,"obj=country, bg=urban, co=urban",0.968,"obj=urban, bg=urban, co=country",0.188,1000,9.9,1.8,0.736,0.728,0.656,0.616,0.872,0.912,0.968,0.944,B
ViTamin-L-384,datacomp1b,ViTamin-L-384_datacomp1b,ViTamin,,,14.0,384,DataComp-1b,False,,457.4,0.99,0.618,0.804,0.552,"obj=country, bg=urban, co=urban",1.0,"obj=urban, bg=urban, co=country",0.252,1000,25.5,8.7,0.688,0.64,0.592,0.552,0.976,0.984,1.0,1.0,
ViTamin-XL-336,datacomp1b,ViTamin-XL-336_datacomp1b,ViTamin,,,14.0,336,DataComp-1b,False,,924.8,0.668,0.938,0.803,0.52,"obj=urban, bg=country, co=country",0.96,"obj=country, bg=country, co=country",0.283,1000,54.0,7.9,0.96,0.904,0.96,0.928,0.52,0.824,0.536,0.792,
ViTamin-S-LTT,datacomp1b,ViTamin-S-LTT_datacomp1b,ViTamin,,,14.0,224,DataComp-1b,False,,145.8,0.776,0.828,0.802,0.696,"obj=urban, bg=urban, co=country",0.872,"obj=country, bg=urban, co=country",0.1060000000000001,1000,11.0,2.2,0.848,0.768,0.872,0.824,0.816,0.824,0.696,0.768,
EVA02-L-14,merged2b_s4b_b131k,EVA02-L-14_merged2b_s4b_b131k,EVA,,,14.0,224,Merged-2b,False,,427.8,0.752,0.852,0.802,0.544,"obj=urban, bg=country, co=country",0.912,"obj=urban, bg=urban, co=urban",0.258,1000,44.3,4.2,0.904,0.864,0.872,0.768,0.544,0.752,0.8,0.912,
ViTamin-S,datacomp1b,ViTamin-S_datacomp1b,ViTamin,,,14.0,224,DataComp-1b,False,,62.5,0.9,0.704,0.802,0.648,"obj=country, bg=country, co=urban",0.944,"obj=urban, bg=country, co=urban",0.154,1000,5.9,2.2,0.728,0.648,0.72,0.72,0.848,0.944,0.864,0.944,
ViT-B-16,commonpool_l_text_s1b_b8k,ViT-B-16_commonpool_l_text_s1b_b8k,CLIP,,,16.0,224,CommonPool-1b,False,512.0,149.6,0.884,0.718,0.801,0.648,"obj=country, bg=urban, co=urban",0.92,"obj=urban, bg=country, co=urban",0.153,1000,10.1,2.0,0.784,0.76,0.68,0.648,0.824,0.92,0.872,0.92,B
