model_name,pretrained_tag,model_id,arch_family,resnet_depth,resnet_multiplier,patch_size,image_size,training_data,quickgelu,embed_dim,total_params_M,acc_gt_text1,acc_gt_text2,avg_accuracy,worst_group_accuracy,worst_group,best_group_accuracy,best_group,accuracy_gap,total_images,load_time_s,encode_time_s,"acc_obj=country, bg=country, co=country","acc_obj=country, bg=country, co=urban","acc_obj=country, bg=urban, co=country","acc_obj=country, bg=urban, co=urban","acc_obj=urban, bg=country, co=country","acc_obj=urban, bg=country, co=urban","acc_obj=urban, bg=urban, co=country","acc_obj=urban, bg=urban, co=urban",vit_size
ViTamin-L-336,datacomp1b,ViTamin-L-336_datacomp1b,ViT,,,,336,DataComp,False,,457.2,0.982,0.692,0.837,0.632,"obj=country, bg=urban, co=urban",1.0,"obj=urban, bg=urban, co=country",0.20499999999999996,1000,24.6,6.8,0.744,0.728,0.664,0.632,0.944,0.984,1.0,1.0,
ViT-B-16-SigLIP-i18n-256,webli,ViT-B-16-SigLIP-i18n-256_webli,ViT,,,16.0,256,WebLI,False,,370.6,0.762,0.91,0.836,0.68,"obj=urban, bg=country, co=country",0.944,"obj=country, bg=country, co=urban",0.15599999999999992,1000,24.3,1.4,0.928,0.944,0.88,0.888,0.68,0.832,0.688,0.848,B
ViT-L-14-CLIPA-336,datacomp1b,ViT-L-14-CLIPA-336_datacomp1b,ViT,,,14.0,336,DataComp,False,768.0,414.5,0.768,0.902,0.835,0.584,"obj=urban, bg=country, co=country",0.944,"obj=country, bg=country, co=country",0.251,1000,25.4,7.0,0.944,0.888,0.928,0.848,0.584,0.88,0.696,0.912,L
ViTamin-L,datacomp1b,ViTamin-L_datacomp1b,ViT,,,,224,DataComp,False,,457.0,0.972,0.698,0.835,0.624,"obj=country, bg=urban, co=urban",0.992,"obj=urban, bg=urban, co=country",0.21099999999999997,1000,26.2,3.6,0.784,0.728,0.656,0.624,0.928,0.976,0.992,0.992,
ViT-bigG-14,laion2b_s39b_b160k,ViT-bigG-14_laion2b_s39b_b160k,ViT,,,14.0,224,LAION-2B,False,1280.0,2539.6,0.838,0.832,0.835,0.784,"obj=country, bg=urban, co=urban",0.904,"obj=urban, bg=urban, co=urban",0.050999999999999934,1000,33.0,11.5,0.84,0.824,0.88,0.784,0.792,0.848,0.808,0.904,bigG
ViT-L-14,laion2b_s32b_b82k,ViT-L-14_laion2b_s32b_b82k,ViT,,,14.0,224,LAION-2B,False,768.0,427.6,0.874,0.796,0.835,0.728,"obj=country, bg=urban, co=urban",0.928,"obj=urban, bg=urban, co=urban",0.10699999999999998,1000,19.7,3.4,0.864,0.784,0.808,0.728,0.816,0.896,0.856,0.928,L
ViTamin-L2-384,datacomp1b,ViTamin-L2-384_datacomp1b,ViT,,,,384,DataComp,False,,688.0,0.814,0.856,0.835,0.696,"obj=urban, bg=country, co=country",0.928,"obj=country, bg=urban, co=country",0.139,1000,35.2,8.7,0.904,0.808,0.928,0.784,0.696,0.928,0.712,0.92,
ViT-bigG-14,metaclip_fullcc,ViT-bigG-14_metaclip_fullcc,ViT,,,14.0,224,MetaCLIP,False,1280.0,2539.6,0.77,0.898,0.834,0.68,"obj=urban, bg=country, co=country",0.936,"obj=country, bg=country, co=country",0.15399999999999991,1000,176.4,13.3,0.936,0.864,0.936,0.856,0.68,0.808,0.728,0.864,bigG
ViT-SO400M-14-SigLIP2,webli,ViT-SO400M-14-SigLIP2_webli,ViT,,,,224,WebLI,False,,1135.5,0.698,0.97,0.834,0.464,"obj=urban, bg=country, co=country",0.984,"obj=country, bg=country, co=country",0.36999999999999994,1000,65.0,3.7,0.984,0.96,0.968,0.968,0.464,0.88,0.56,0.888,
ViT-SO400M-16-SigLIP2-384,webli,ViT-SO400M-16-SigLIP2-384_webli,ViT,,,,384,WebLI,False,,1136.0,0.696,0.968,0.832,0.488,"obj=urban, bg=country, co=country",0.992,"obj=country, bg=country, co=country",0.344,1000,61.2,8.1,0.992,0.928,0.984,0.968,0.488,0.888,0.504,0.904,
MobileCLIP2-S0,dfndr2b,MobileCLIP2-S0_dfndr2b,MobileCLIP,,,,256,DFN,False,,74.8,0.852,0.812,0.832,0.768,"obj=country, bg=urban, co=urban",0.904,"obj=urban, bg=urban, co=urban",0.06399999999999995,1000,6.5,1.7,0.84,0.816,0.824,0.768,0.808,0.88,0.816,0.904,
convnext_large_d_320,laion2b_s29b_b131k_ft_soup,convnext_large_d_320_laion2b_s29b_b131k_ft_soup,ConvNeXt,,,,320,LAION-2B,False,,351.8,0.786,0.876,0.831,0.616,"obj=urban, bg=country, co=country",0.944,"obj=urban, bg=urban, co=urban",0.21499999999999997,1000,18.4,4.1,0.928,0.84,0.936,0.8,0.616,0.856,0.728,0.944,
ViT-B-16-quickgelu,metaclip_400m,ViT-B-16-quickgelu_metaclip_400m,ViT,,,16.0,224,MetaCLIP,True,512.0,149.6,0.928,0.734,0.831,0.704,"obj=country, bg=urban, co=urban",0.952,"obj=urban, bg=urban, co=urban",0.127,1000,14.7,2.1,0.768,0.712,0.752,0.704,0.912,0.928,0.92,0.952,B
coca_ViT-L-14,laion2b_s13b_b90k,coca_ViT-L-14_laion2b_s13b_b90k,ViT,,,14.0,224,LAION-2B,False,768.0,638.5,0.726,0.934,0.83,0.648,"obj=urban, bg=urban, co=country",0.952,"obj=country, bg=country, co=urban",0.18199999999999994,1000,30.4,3.4,0.928,0.952,0.936,0.92,0.656,0.8,0.648,0.8,L
ViT-B-16-SigLIP,webli,ViT-B-16-SigLIP_webli,ViT,,,16.0,224,WebLI,False,,203.2,0.716,0.944,0.83,0.624,"obj=urban, bg=country, co=country",0.96,"obj=country, bg=urban, co=urban",0.20599999999999996,1000,13.6,2.9,0.944,0.928,0.944,0.96,0.624,0.768,0.68,0.792,B
