model_id,model_name,training_objective,arch_family,total_params_M,image_size,training_data,top1_accuracy,worst_group_accuracy,avg_accuracy,imagenet_acc,wg_acc,robustness_gap,robustness_ratio,relative_drop_pct
ViTamin-L2-256_datacomp1b,ViTamin-L2-256,CLIP,ViTamin,687.7,256,DataComp-1b,0.8140000000000001,0.7944444444444444,0.9099789600240455,0.8140000000000001,0.7944444444444444,0.01955555555555566,0.9759759759759759,2.402402402402415
ViTamin-XL-384_datacomp1b,ViTamin-XL-384,CLIP,ViTamin,924.8,256,DataComp-1b,0.81384,0.7635036496350365,0.8418996092575894,0.81384,0.7635036496350365,0.050336350364963534,0.9381495744065621,6.185042559343794
ViT-L-14-quickgelu_dfn2b,ViT-L-14-quickgelu,CLIP,CLIP,427.6,224,DFN-2b,0.8138200000000001,0.7666666666666667,0.919296663660956,0.8138200000000001,0.7666666666666667,0.04715333333333338,0.94205925962334,5.794074037665991
ViT-B-16-SigLIP2-512_webli,ViT-B-16-SigLIP2-512,SigLIP2,SigLIP2,375.8,512,WebLI-10b,0.81274,0.8666666666666667,0.9063220118224626,0.81274,0.8666666666666667,-0.05392666666666668,1.0663516827849826,-6.63516827849825
ViT-H-14-worldwide-quickgelu_metaclip2_worldwide,ViT-H-14-worldwide-quickgelu,CLIP,CLIP,1858.8,224,MetaCLIP2-2.5b,0.81254,0.8277777777777777,0.8902414587716662,0.81254,0.8277777777777777,-0.015237777777777683,1.0187532647965365,-1.8753264796536395
ViT-bigG-14-quickgelu_metaclip_fullcc,ViT-bigG-14-quickgelu,CLIP,CLIP,2539.6,224,CommonCrawl-2.5b,0.8119799999999999,0.7944444444444444,0.9015128744614768,0.8119799999999999,0.7944444444444444,0.017535555555555526,0.9784039563098161,2.1596043690183904
ViTamin-L-256_datacomp1b,ViTamin-L-256,CLIP,ViTamin,457.0,256,DataComp-1b,0.8119,0.8467153284671532,0.8771165213906422,0.8119,0.8467153284671532,-0.034815328467153295,1.0428813012281726,-4.288130122817256
ViTamin-L2_datacomp1b,ViTamin-L2,CLIP,ViTamin,687.6,224,DataComp-1b,0.8089400000000001,0.8055555555555556,0.9075242961627092,0.8089400000000001,0.8055555555555556,0.003384444444444523,0.9958161984270224,0.4183801572977628
ViTamin-L_datacomp1b,ViTamin-L,CLIP,ViTamin,457.0,224,DataComp-1b,0.8077,0.8617120106171201,0.8834285141769361,0.8077,0.8617120106171201,-0.05401201061712013,1.0668713762747557,-6.687137627475565
MobileCLIP2-S3_dfndr2b,MobileCLIP2-S3,CLIP,MobileCLIP2,248.9,256,DFNDR-2b,0.807,0.7944444444444444,0.9220018034265104,0.807,0.7944444444444444,0.012555555555555653,0.9844416907613932,1.5558309238606758
ViT-B-16-SigLIP2-384_webli,ViT-B-16-SigLIP2-384,SigLIP2,SigLIP2,375.5,384,WebLI-10b,0.8065000000000001,0.8666666666666667,0.9042180142270314,0.8065000000000001,0.8666666666666667,-0.06016666666666659,1.0746021905352345,-7.460219053523446
ViT-SO400M-16-SigLIP-i18n-256_webli,ViT-SO400M-16-SigLIP-i18n-256,SigLIP,SigLIP,1127.4,256,WebLI-10b,0.80648,0.8775049767750498,0.8917944093778178,0.80648,0.8775049767750498,-0.07102497677504982,1.088067871211995,-8.806787121199513
ViT-bigG-14_metaclip_fullcc,ViT-bigG-14,CLIP,CLIP,2539.6,224,CommonCrawl-2.5b,0.80594,0.7833333333333333,0.9059212503757138,0.80594,0.7833333333333333,0.022606666666666664,0.9719499383742379,2.8050061625762046
ViT-L-14_dfn2b,ViT-L-14,CLIP,CLIP,427.6,224,DFN-2b,0.80548,0.6722222222222223,0.925959322713155,0.80548,0.6722222222222223,0.1332577777777777,0.8345610346901503,16.543896530984966
ViT-H-14-quickgelu_metaclip_fullcc,ViT-H-14-quickgelu,CLIP,CLIP,986.1,224,CommonCrawl-2.5b,0.8051,0.8555555555555555,0.890141268409979,0.8051,0.8555555555555555,-0.050455555555555476,1.062669923680978,-6.266992368097811
ViT-L-16-SigLIP-256_webli,ViT-L-16-SigLIP-256,SigLIP,SigLIP,652.2,256,WebLI-10b,0.80444,0.8592198218490836,0.8796713756136659,0.80444,0.8592198218490836,-0.05477982184908359,1.068096839850186,-6.809683985018594
EVA02-L-14-336_merged2b_s6b_b61k,EVA02-L-14-336,EVA,EVA,428.1,336,Merged-2b,0.80378,0.7888888888888889,0.9031660154293156,0.80378,0.7888888888888889,0.014891111111111188,0.9814736481237264,1.8526351876273592
ViT-L-14-CLIPA-336_datacomp1b,ViT-L-14-CLIPA-336,CLIPA,CLIPA,414.5,336,DataComp-1b,0.8027599999999999,0.8709941640217057,0.8780182346458271,0.8027599999999999,0.8709941640217057,-0.06823416402170579,1.0849994569008243,-8.49994569008244
ViT-bigG-14_laion2b_s39b_b160k,ViT-bigG-14,CLIP,CLIP,2539.6,224,LAION-2b,0.80092,0.8764205999795229,0.8907424105801022,0.80092,0.8764205999795229,-0.07550059997952296,1.0942673425304936,-9.426734253049364
ViT-bigG-14-worldwide_metaclip2_worldwide,ViT-bigG-14-worldwide,CLIP,CLIP,3630.4,224,MetaCLIP2-2.5b,0.7990999999999999,0.8614465826144658,0.8748622382526801,0.7990999999999999,0.8614465826144658,-0.062346582614465906,1.0780210018952145,-7.80210018952145
EVA02-L-14_merged2b_s4b_b131k,EVA02-L-14,EVA,EVA,427.8,224,Merged-2b,0.7976399999999999,0.7222222222222222,0.9109808636409178,0.7976399999999999,0.7222222222222222,0.0754177777777777,0.9054488518908559,9.45511481091441
ViT-L-14-CLIPA_datacomp1b,ViT-L-14-CLIPA,CLIPA,CLIPA,414.2,224,DataComp-1b,0.7960200000000001,0.8711989351899253,0.8807233744113816,0.7960200000000001,0.8711989351899253,-0.07517893518992524,1.094443525526903,-9.44435255269029
convnext_xxlarge_laion2b_s34b_b82k_augreg_soup,convnext_xxlarge,CLIP,ConvNeXt,1200.6,256,LAION-2b,0.79428,0.8672058974096447,0.8774170924757039,0.79428,0.8672058974096447,-0.07292589740964472,1.091813840723227,-9.181384072322698
MobileCLIP2-B_dfndr2b,MobileCLIP2-B,CLIP,MobileCLIP2,149.8,224,DFNDR-2b,0.7935800000000001,0.7944444444444444,0.9202484720969842,0.7935800000000001,0.7944444444444444,-0.0008644444444443344,1.001089297165307,-0.10892971653070067
EVA01-g-14-plus_merged2b_s11b_b114k,EVA01-g-14-plus,EVA,EVA,1366.6,224,Merged-2b,0.79318,0.8640319443022423,0.8873359382827372,0.79318,0.8640319443022423,-0.07085194430224229,1.0893264382640035,-8.93264382640035
ViT-B-16-SigLIP2-256_webli,ViT-B-16-SigLIP2-256,SigLIP2,SigLIP2,375.2,256,WebLI-10b,0.79304,0.8666666666666667,0.9038172527802826,0.79304,0.8666666666666667,-0.07362666666666673,1.0928410504724437,-9.284105047244367
convnext_xxlarge_laion2b_s34b_b82k_augreg_rewind,convnext_xxlarge,CLIP,ConvNeXt,1200.6,256,LAION-2b,0.7929600000000001,0.8663868127367667,0.8789700430818556,0.7929600000000001,0.8663868127367667,-0.07342681273676654,1.0925983816797398,-9.259838167973989
ViT-L-14_datacomp_xl_s13b_b90k,ViT-L-14,CLIP,CLIP,427.6,224,DataComp-1b,0.79208,0.8055555555555556,0.904769061216311,0.79208,0.8055555555555556,-0.013475555555555574,1.017012871876017,-1.7012871876017035
ViT-L-14-quickgelu_metaclip_fullcc,ViT-L-14-quickgelu,CLIP,CLIP,427.6,224,CommonCrawl-2.5b,0.79192,0.8388888888888889,0.8885382226229837,0.79192,0.8388888888888889,-0.04696888888888895,1.059310143561078,-5.9310143561078075
ViT-B-16-SigLIP-512_webli,ViT-B-16-SigLIP-512,SigLIP,SigLIP,203.8,512,WebLI-10b,0.7912,0.8782635404934985,0.891393647931069,0.7912,0.8782635404934985,-0.08706354049349851,1.1100398641222176,-11.003986412221753
ViT-H-14-CLIPA-336_laion2b,ViT-H-14-CLIPA-336,CLIPA,CLIPA,968.6,336,LAION-2b,0.7911199999999999,0.8741871267418713,0.8819757539324717,0.7911199999999999,0.8741871267418713,-0.08306712674187133,1.104999401787177,-10.499940178717685
convnext_xxlarge_laion2b_s34b_b82k_augreg,convnext_xxlarge,CLIP,ConvNeXt,1200.6,256,LAION-2b,0.79038,0.8705846216852667,0.8816250876665664,0.79038,0.8705846216852667,-0.08020462168526676,1.101476026323119,-10.147602632311896
EVA01-g-14_laion400m_s11b_b41k,EVA01-g-14,EVA,EVA,1136.4,224,LAION-400m,0.785,0.7944444444444444,0.8883378418996093,0.785,0.7944444444444444,-0.009444444444444366,1.0120311394196744,-1.2031139419674353
ViT-H-14_metaclip_fullcc,ViT-H-14,CLIP,CLIP,986.1,224,CommonCrawl-2.5b,0.7849200000000001,0.7277777777777777,0.9138362889490032,0.7849200000000001,0.7277777777777777,0.057142222222222316,0.9271999411121868,7.280005888781317
ViT-B-16-SigLIP-384_webli,ViT-B-16-SigLIP-384,SigLIP,SigLIP,203.4,384,WebLI-10b,0.78484,0.8736561892085595,0.8886885081655145,0.78484,0.8736561892085595,-0.08881618920855949,1.113164707722032,-11.316470772203187
ViT-B-16-SigLIP2_webli,ViT-B-16-SigLIP2,SigLIP2,SigLIP2,375.2,224,WebLI-10b,0.78476,0.8722222222222222,0.905270013024747,0.78476,0.8722222222222222,-0.08746222222222222,1.1114509177611271,-11.145091776112723
ViT-g-14_laion2b_s34b_b88k,ViT-g-14,CLIP,CLIP,1366.7,224,LAION-2b,0.78452,0.8055555555555556,0.9063220118224626,0.78452,0.8055555555555556,-0.021035555555555585,1.0268132814403146,-2.6813281440314567
PE-Core-B-16_meta,PE-Core-B-16,CLIP,PE,447.7,224,MetaCLIP-5.4b,0.78358,0.7555555555555555,0.8938483117924055,0.78358,0.7555555555555555,0.02802444444444452,0.9642353755271389,3.576462447286112
ViT-H-14_laion2b_s32b_b79k,ViT-H-14,CLIP,CLIP,986.1,224,LAION-2b,0.77928,0.8444444444444444,0.889389840697325,0.77928,0.8444444444444444,-0.06516444444444447,1.0836213484812192,-8.362134848121915
MobileCLIP2-S2_dfndr2b,MobileCLIP2-S2,CLIP,MobileCLIP2,99.2,256,DFNDR-2b,0.77252,0.7833333333333333,0.9213004708947,0.77252,0.7833333333333333,-0.010813333333333341,1.01399748010839,-1.399748010838987
MobileCLIP-B_datacompdr_lt,MobileCLIP-B,CLIP,MobileCLIP,149.8,224,DataComp-1b,0.7719,0.8166666666666667,0.9127842901512876,0.7719,0.8166666666666667,-0.04476666666666662,1.0579954225504167,-5.799542255041666
xlm-roberta-large-ViT-H-14_frozen_laion5b_s13b_b90k,xlm-roberta-large-ViT-H-14,CLIP,XLM-RoBERTa-CLIP,1193.0,224,LAION-5b,0.7696200000000001,0.8055555555555556,0.9099789600240455,0.7696200000000001,0.8055555555555556,-0.0359355555555555,1.0466925957687632,-4.669259576876315
convnext_large_d_320_laion2b_s29b_b131k_ft_soup,convnext_large_d_320,CLIP,ConvNeXt,351.8,320,LAION-2b,0.76846,0.8345056403450564,0.8696022442641018,0.76846,0.8345056403450564,-0.06604564034505633,1.085945449789262,-8.594544978926207
MobileCLIP-B_datacompdr,MobileCLIP-B,CLIP,MobileCLIP,149.8,224,DataComp-1b,0.76834,0.8722222222222222,0.909928864843202,0.76834,0.8722222222222222,-0.10388222222222221,1.1352034544891874,-13.520345448918736
ViT-L-14_metaclip_fullcc,ViT-L-14,CLIP,CLIP,427.6,224,CommonCrawl-2.5b,0.76658,0.85,0.9006111612062919,0.76658,0.85,-0.08341999999999994,1.1088209971562002,-10.882099715620019
ViT-g-14_laion2b_s12b_b42k,ViT-g-14,CLIP,CLIP,1366.7,224,LAION-2b,0.76628,0.7722222222222223,0.9157900010019036,0.76628,0.7722222222222223,-0.005942222222222293,1.0077546356713243,-0.7754635671324182
convnext_large_d_320_laion2b_s29b_b131k_ft,convnext_large_d_320,CLIP,ConvNeXt,351.8,320,LAION-2b,0.76594,0.8444444444444444,0.8727582406572487,0.76594,0.8444444444444444,-0.07850444444444449,1.1024942481714552,-10.249424817145533
ViT-B-16-SigLIP-256_webli,ViT-B-16-SigLIP-256,SigLIP,SigLIP,203.2,256,WebLI-10b,0.76556,0.8741681171291082,0.8931970744414387,0.76556,0.8741681171291082,-0.10860811712910823,1.1418675441887092,-14.186754418870922
ViT-L-14-336-quickgelu_openai,ViT-L-14-336-quickgelu,CLIP,CLIP,427.9,336,OpenAI-400m,0.76546,0.7555555555555555,0.8955014527602445,0.76546,0.7555555555555555,0.009904444444444493,0.9870607942355649,1.2939205764435102
ViT-L-14_commonpool_xl_clip_s13b_b90k,ViT-L-14,CLIP,CLIP,427.6,224,CommonPool-12.8b,0.7639199999999999,0.8055555555555556,0.8996092575894199,0.7639199999999999,0.8055555555555556,-0.04163555555555565,1.0545025075342387,-5.450250753423873
ViT-B-16_dfn2b,ViT-B-16,CLIP,CLIP,149.6,224,DFNDR-2b,0.76262,0.7333333333333333,0.9150385732892496,0.76262,0.7333333333333333,0.029286666666666683,0.9615973005341236,3.840269946587643
ViT-L-14-quickgelu_metaclip_400m,ViT-L-14-quickgelu,CLIP,CLIP,427.6,224,MetaCLIP-400m,0.7624200000000001,0.8088918380889184,0.8473599839695422,0.7624200000000001,0.8088918380889184,-0.046471838088918305,1.060953067979484,-6.095306797948414
ViT-B-16-SigLIP_webli,ViT-B-16-SigLIP,SigLIP,SigLIP,203.2,224,WebLI-10b,0.76042,0.8727347189515716,0.8850315599639315,0.76042,0.8727347189515716,-0.11231471895157163,1.1477009007542827,-14.77009007542827
