model_id,arch_family,training_objective,ImageNet,UrbanCars_WG,CelebA_WG,avg_wg
MobileCLIP-S2_datacompdr,MobileCLIP,CLIP,74.432,72.0,84.44444444444444,78.22222222222223
PE-Core-bigG-14-448_meta,PE,CLIP,74.242,72.0,85.55555555555556,78.77777777777777
ViT-L-14-336_openai,CLIP,CLIP,73.996,54.400000000000006,82.22222222222221,68.3111111111111
RN50x64-quickgelu_openai,ResNet,CLIP,73.914,61.6,0.0,30.8
ViT-B-32-SigLIP2-256_webli,SigLIP2,SigLIP2,73.85,79.2,86.66666666666667,82.93333333333334
ViT-B-16_datacomp_xl_s13b_b90k,CLIP,CLIP,73.482,73.6,86.66666666666667,80.13333333333333
RN50x64_openai,ResNet,CLIP,73.226,59.199999999999996,75.55555555555556,67.37777777777778
ViT-L-14_metaclip_400m,CLIP,CLIP,73.19,23.200000000000003,85.0,54.1
ViT-L-14_openai,CLIP,CLIP,72.87,54.400000000000006,81.11111111111111,67.75555555555556
ViT-B-32-256_datacomp_s34b_b86k,CLIP,CLIP,72.81,70.39999999999999,72.22222222222221,71.3111111111111
ViT-L-14_laion400m_e32,CLIP,CLIP,72.754,56.8,72.77777777777777,64.78888888888889
ViT-L-14_laion400m_e31,CLIP,CLIP,72.694,52.0,72.22222222222221,62.11111111111111
MobileCLIP-S1_datacompdr,MobileCLIP,CLIP,72.594,50.4,85.0,67.7
PE-Core-S-16-384_meta,PE,CLIP,72.452,75.2,72.22222222222221,73.71111111111111
ViT-L-14_commonpool_xl_s13b_b90k,CLIP,CLIP,72.292,68.0,84.63171864631718,76.31585932315859
ViT-B-16-quickgelu_metaclip_fullcc,CLIP,CLIP,72.146,68.8,69.44444444444444,69.12222222222222
coca_ViT-L-14_mscoco_finetuned_laion2b_s13b_b90k,CoCa,CoCa,72.136,77.60000000000001,82.77777777777777,80.1888888888889
convnext_base_w_320_laion_aesthetic_s13b_b82k,ConvNeXt,CLIP,71.69,67.2,80.0,73.6
MobileCLIP2-S0_dfndr2b,MobileCLIP2,CLIP,71.57,76.8,77.77777777777779,77.28888888888889
convnext_base_w_laion2b_s13b_b82k_augreg,ConvNeXt,CLIP,71.45,58.4,86.14465826144658,72.27232913072329
convnext_base_w_320_laion_aesthetic_s13b_b82k_augreg,ConvNeXt,CLIP,71.264,70.39999999999999,84.1672196416722,77.28360982083609
convnext_base_w_laion_aesthetic_s13b_b82k,ConvNeXt,CLIP,70.974,62.4,80.55555555555556,71.47777777777777
ViT-B-16-quickgelu_metaclip_400m,CLIP,CLIP,70.81,70.39999999999999,76.11111111111111,73.25555555555556
convnext_base_w_laion2b_s13b_b82k,ConvNeXt,CLIP,70.794,75.2,75.55555555555556,75.37777777777778
ViTamin-B-LTT_datacomp1b,ViTamin,CLIP,70.736,66.4,81.11111111111111,73.75555555555556
RN50x16-quickgelu_openai,ResNet,CLIP,70.72,46.400000000000006,72.22222222222221,59.31111111111111
