model_name,pretrained_tag,model_id,arch_family,vit_size,patch_size,image_size,training_data,quickgelu,embed_dim,total_params_M,top1_accuracy,top5_accuracy,total_images,load_time_s,classifier_time_s,eval_time_s,resnet_depth,resnet_multiplier
convnext_xxlarge,laion2b_s34b_b82k_augreg,convnext_xxlarge_laion2b_s34b_b82k_augreg,ConvNeXt,,,256,LAION-2b,False,,1200.6,79.038,95.94,50000,69.3,65.5,343.5,,
EVA01-g-14,laion400m_s11b_b41k,EVA01-g-14_laion400m_s11b_b41k,EVA,,14.0,224,LAION-400m,False,,1136.4,78.5,95.496,50000,41.8,20.5,422.6,,
ViT-H-14,metaclip_fullcc,ViT-H-14_metaclip_fullcc,CLIP,H,14.0,224,CommonCrawl-2.5b,False,1024.0,986.1,78.492,95.514,50000,15.4,65.9,286.4,,
ViT-B-16-SigLIP-384,webli,ViT-B-16-SigLIP-384_webli,SigLIP,B,16.0,384,WebLI-10b,False,,203.4,78.484,95.544,50000,37.2,10.7,81.0,,
ViT-B-16-SigLIP2,webli,ViT-B-16-SigLIP2_webli,SigLIP2,B,16.0,224,WebLI-10b,False,,375.2,78.476,95.676,50000,33.3,11.0,53.3,,
ViT-g-14,laion2b_s34b_b88k,ViT-g-14_laion2b_s34b_b88k,CLIP,g,14.0,224,LAION-2b,False,1024.0,1366.7,78.452,95.304,50000,72.7,65.4,449.3,,
PE-Core-B-16,meta,PE-Core-B-16_meta,PE,,16.0,224,MetaCLIP-5.4b,False,,447.7,78.358,95.676,50000,65.3,16.3,46.0,,
ViT-H-14,laion2b_s32b_b79k,ViT-H-14_laion2b_s32b_b79k,CLIP,H,14.0,224,LAION-2b,False,1024.0,986.1,77.928,95.234,50000,51.7,65.6,286.4,,
MobileCLIP2-S2,dfndr2b,MobileCLIP2-S2_dfndr2b,MobileCLIP2,,,256,DFNDR-2b,False,,99.2,77.252,95.53,50000,15.4,7.2,55.3,,
MobileCLIP-B,datacompdr_lt,MobileCLIP-B_datacompdr_lt,MobileCLIP,,16.0,224,DataComp-1b,False,,149.8,77.19,95.61,50000,12.7,7.3,47.6,,
xlm-roberta-large-ViT-H-14,frozen_laion5b_s13b_b90k,xlm-roberta-large-ViT-H-14_frozen_laion5b_s13b_b90k,XLM-RoBERTa-CLIP,H,14.0,224,LAION-5b,False,1024.0,1193.0,76.962,95.112,50000,59.7,61.4,286.6,,
convnext_large_d_320,laion2b_s29b_b131k_ft_soup,convnext_large_d_320_laion2b_s29b_b131k_ft_soup,ConvNeXt,,,320,LAION-2b,False,,351.8,76.846,95.066,50000,19.4,27.4,163.5,,
MobileCLIP-B,datacompdr,MobileCLIP-B_datacompdr,MobileCLIP,,14.0,224,DataComp-1b,False,,149.8,76.834,95.426,50000,10.6,7.3,47.8,,
ViT-L-14,metaclip_fullcc,ViT-L-14_metaclip_fullcc,CLIP,L,14.0,224,CommonCrawl-2.5b,False,768.0,427.6,76.658,94.924,50000,7.2,20.6,152.3,,
ViT-g-14,laion2b_s12b_b42k,ViT-g-14_laion2b_s12b_b42k,CLIP,g,14.0,224,LAION-2b,False,1024.0,1366.7,76.628,94.836,50000,43.0,39.8,260.5,,
convnext_large_d_320,laion2b_s29b_b131k_ft,convnext_large_d_320_laion2b_s29b_b131k_ft,ConvNeXt,,,320,LAION-2b,False,,351.8,76.594,94.896,50000,20.0,27.3,163.7,,
ViT-B-16-SigLIP-256,webli,ViT-B-16-SigLIP-256_webli,SigLIP,B,16.0,256,WebLI-10b,False,,203.2,76.556,94.704,50000,17.7,10.7,58.0,,
ViT-L-14-336-quickgelu,openai,ViT-L-14-336-quickgelu_openai,CLIP,L,14.0,336,OpenAI-400m,True,768.0,427.9,76.546,95.114,50000,43.8,15.3,237.4,,
