model_name,pretrained_tag,model_id,arch_family,vit_size,patch_size,image_size,training_data,quickgelu,embed_dim,total_params_M,top1_accuracy,top5_accuracy,total_images,load_time_s,classifier_time_s,eval_time_s,resnet_depth,resnet_multiplier
ViT-B-16,openai,ViT-B-16_openai,CLIP,B,16.0,224,OpenAI-400m,False,512.0,149.6,64.394,89.724,50000,2.8,11.0,59.9,,
coca_ViT-B-32,laion2b_s13b_b90k,coca_ViT-B-32_laion2b_s13b_b90k,CoCa,B,32.0,224,LAION-2b,False,512.0,253.6,63.586,88.054,50000,19.0,11.7,56.8,,
ViTamin-S-LTT,datacomp1b,ViTamin-S-LTT_datacomp1b,ViTamin,,14.0,224,DataComp-1b,False,,145.8,63.376,89.278,50000,2.9,12.9,56.4,,
ViT-B-32-quickgelu,openai,ViT-B-32-quickgelu_openai,CLIP,B,32.0,224,OpenAI-400m,True,512.0,151.3,63.348,88.81,50000,8.6,8.9,76.9,,
coca_ViT-B-32,mscoco_finetuned_laion2b_s13b_b90k,coca_ViT-B-32_mscoco_finetuned_laion2b_s13b_b90k,CoCa,B,32.0,224,LAION-2b,False,512.0,253.6,63.31,88.03,50000,13.9,11.6,57.8,,
ViT-B-16,datacomp_l_s1b_b8k,ViT-B-16_datacomp_l_s1b_b8k,CLIP,B,16.0,224,DataComp-1b,False,512.0,149.6,63.1,88.024,50000,10.2,11.0,60.5,,
ViT-B-32-quickgelu,laion400m_e31,ViT-B-32-quickgelu_laion400m_e31,CLIP,B,32.0,224,LAION-400m,True,512.0,151.3,62.962,87.706,50000,23.2,8.9,76.0,,
ViT-B-32-quickgelu,laion400m_e32,ViT-B-32-quickgelu_laion400m_e32,CLIP,B,32.0,224,LAION-400m,True,512.0,151.3,62.942,87.668,50000,28.7,8.9,75.9,,
xlm-roberta-base-ViT-B-32,laion5b_s13b_b90k,xlm-roberta-base-ViT-B-32_laion5b_s13b_b90k,XLM-RoBERTa-CLIP,B,32.0,224,LAION-5b,False,512.0,366.1,62.35,88.042,50000,19.7,19.5,57.8,,
RN101-quickgelu,openai,RN101-quickgelu_openai,ResNet,,,224,OpenAI-400m,True,512.0,119.7,62.3,88.228,50000,19.9,8.9,77.6,101.0,x1
ViTamin-S,datacomp1b,ViTamin-S_datacomp1b,ViTamin,,14.0,224,DataComp-1b,False,,62.5,62.22,87.902,50000,1.8,5.0,55.9,,
PE-Core-T-16-384,meta,PE-Core-T-16-384_meta,PE,,16.0,384,MetaCLIP-5.4b,False,,69.5,62.112,86.864,50000,10.7,3.8,73.7,,
roberta-ViT-B-32,laion2b_s12b_b32k,roberta-ViT-B-32_laion2b_s12b_b32k,RoBERTa-CLIP,B,32.0,224,LAION-2b,False,512.0,212.7,61.75,87.306,50000,17.1,19.7,67.7,,
ViT-B-32,metaclip_400m,ViT-B-32_metaclip_400m,CLIP,B,32.0,224,MetaCLIP-400m,False,512.0,151.3,61.694,86.956,50000,2.9,11.0,55.6,,
RN101,openai,RN101_openai,ResNet,,,224,OpenAI-400m,False,512.0,119.7,60.482,87.266,50000,13.2,10.9,58.6,101.0,x1
ViT-B-32,laion400m_e32,ViT-B-32_laion400m_e32,CLIP,B,32.0,224,LAION-400m,False,512.0,151.3,60.232,85.888,50000,2.9,11.0,56.5,,
ViT-B-32,laion400m_e31,ViT-B-32_laion400m_e31,CLIP,B,32.0,224,LAION-400m,False,512.0,151.3,60.228,85.866,50000,2.9,11.0,56.9,,
RN50-quickgelu,openai,RN50-quickgelu_openai,ResNet,,,224,OpenAI-400m,True,1024.0,102.0,59.818,86.554,50000,14.6,9.0,75.4,50.0,x1
ViT-B-32,openai,ViT-B-32_openai,CLIP,B,32.0,224,OpenAI-400m,False,512.0,151.3,59.606,86.366,50000,3.4,11.1,57.5,,
RN50,openai,RN50_openai,ResNet,,,224,OpenAI-400m,False,1024.0,102.0,57.908,85.496,50000,15.7,11.9,79.6,50.0,x1
ViT-B-16,commonpool_l_clip_s1b_b8k,ViT-B-16_commonpool_l_clip_s1b_b8k,CLIP,B,16.0,224,CommonPool-1b,False,512.0,149.6,57.772,85.172,50000,9.5,11.0,60.6,,
ViT-B-16,commonpool_l_image_s1b_b8k,ViT-B-16_commonpool_l_image_s1b_b8k,CLIP,B,16.0,224,CommonPool-1b,False,512.0,149.6,57.206,84.544,50000,10.5,11.0,60.8,,
ViT-H-14-worldwide,metaclip2_worldwide,ViT-H-14-worldwide_metaclip2_worldwide,CLIP,H,14.0,224,MetaCLIP2-2.5b,False,1024.0,1858.8,56.204,80.356,50000,217.1,39.4,171.9,,
ViT-B-16,commonpool_l_text_s1b_b8k,ViT-B-16_commonpool_l_text_s1b_b8k,CLIP,B,16.0,224,CommonPool-1b,False,512.0,149.6,56.07,84.114,50000,10.2,11.0,59.9,,
ViT-B-16,commonpool_l_laion_s1b_b8k,ViT-B-16_commonpool_l_laion_s1b_b8k,CLIP,B,16.0,224,CommonPool-1b,False,512.0,149.6,55.258,83.428,50000,11.2,11.0,60.2,,
ViT-B-16,commonpool_l_basic_s1b_b8k,ViT-B-16_commonpool_l_basic_s1b_b8k,CLIP,B,16.0,224,CommonPool-1b,False,512.0,149.6,51.576,80.562,50000,9.7,11.0,59.7,,
nllb-clip-large-siglip,v1,nllb-clip-large-siglip_v1,NLLB-SigLIP,,14.0,384,WebLI-10b,False,,1195.5,48.498,72.454,50000,73.4,59.4,343.7,,
nllb-clip-large-siglip,mrl,nllb-clip-large-siglip_mrl,NLLB-SigLIP,,14.0,384,WebLI-10b,False,,1195.5,46.548,70.244,50000,32.1,59.7,342.2,,
ViT-B-16,commonpool_l_s1b_b8k,ViT-B-16_commonpool_l_s1b_b8k,CLIP,B,16.0,224,CommonPool-1b,False,512.0,149.6,45.888,75.08,50000,9.2,11.0,59.7,,
nllb-clip-base-siglip,v1,nllb-clip-base-siglip_v1,NLLB-SigLIP,,16.0,384,WebLI-10b,False,,507.5,37.526,61.078,50000,33.1,23.4,85.5,,
nllb-clip-base-siglip,mrl,nllb-clip-base-siglip_mrl,NLLB-SigLIP,,16.0,384,WebLI-10b,False,,507.5,37.062,60.432,50000,16.2,23.5,84.1,,
nllb-clip-large,v1,nllb-clip-large_v1,NNLB-CLIP,,14.0,224,LAION-2b,False,1024.0,1399.2,36.714,59.348,50000,81.3,59.4,172.5,,
RN50-quickgelu,cc12m,RN50-quickgelu_cc12m,ResNet,,,224,CC-12m,True,1024.0,102.0,36.448,64.404,50000,17.7,8.9,77.9,50.0,x1
RN50,cc12m,RN50_cc12m,ResNet,,,224,CC-12m,False,1024.0,102.0,35.898,63.61,50000,12.6,10.9,57.0,50.0,x1
RN101-quickgelu,yfcc15m,RN101-quickgelu_yfcc15m,ResNet,,,224,YFCC-15m,True,512.0,119.7,34.868,60.406,50000,13.1,8.9,76.0,101.0,x1
RN101,yfcc15m,RN101_yfcc15m,ResNet,,,224,YFCC-15m,False,512.0,119.7,34.054,59.376,50000,11.6,11.0,58.9,101.0,x1
RN50-quickgelu,yfcc15m,RN50-quickgelu_yfcc15m,ResNet,,,224,YFCC-15m,True,1024.0,102.0,32.768,58.31,50000,13.6,8.9,76.8,50.0,x1
RN50,yfcc15m,RN50_yfcc15m,ResNet,,,224,YFCC-15m,False,1024.0,102.0,32.356,57.12,50000,13.5,10.9,56.9,50.0,x1
ViT-B-32,datacomp_m_s128m_b4k,ViT-B-32_datacomp_m_s128m_b4k,CLIP,B,32.0,224,DataComp-128m,False,512.0,151.3,29.708,55.746,50000,13.3,10.9,56.3,,
ViT-B-32,commonpool_m_clip_s128m_b4k,ViT-B-32_commonpool_m_clip_s128m_b4k,CLIP,B,32.0,224,CommonPool-128m,False,512.0,151.3,27.198,52.202,50000,10.5,11.0,56.9,,
ViT-B-32,commonpool_m_image_s128m_b4k,ViT-B-32_commonpool_m_image_s128m_b4k,CLIP,B,32.0,224,CommonPool-128m,False,512.0,151.3,26.78,51.996,50000,11.2,10.9,55.5,,
ViT-B-32,commonpool_m_text_s128m_b4k,ViT-B-32_commonpool_m_text_s128m_b4k,CLIP,B,32.0,224,CommonPool-128m,False,512.0,151.3,25.504,50.24,50000,9.5,11.0,56.1,,
nllb-clip-base,v1,nllb-clip-base_v1,NNLB-CLIP,,32.0,224,OpenAI-400m,False,512.0,501.9,24.306,45.176,50000,35.2,23.5,57.2,,
ViT-B-32,commonpool_m_laion_s128m_b4k,ViT-B-32_commonpool_m_laion_s128m_b4k,CLIP,B,32.0,224,CommonPool-128m,False,512.0,151.3,23.036,45.864,50000,11.4,11.0,56.2,,
ViT-B-32,commonpool_m_basic_s128m_b4k,ViT-B-32_commonpool_m_basic_s128m_b4k,CLIP,B,32.0,224,CommonPool-128m,False,512.0,151.3,22.566,45.206,50000,12.5,11.0,56.2,,
ViT-B-32,commonpool_m_s128m_b4k,ViT-B-32_commonpool_m_s128m_b4k,CLIP,B,32.0,224,CommonPool-128m,False,512.0,151.3,17.564,38.19,50000,10.8,10.9,55.3,,
ViT-B-32,commonpool_s_clip_s13m_b4k,ViT-B-32_commonpool_s_clip_s13m_b4k,CLIP,B,32.0,224,CommonPool-13m,False,512.0,151.3,5.048,14.216,50000,10.8,11.0,56.0,,
ViT-B-32,commonpool_s_text_s13m_b4k,ViT-B-32_commonpool_s_text_s13m_b4k,CLIP,B,32.0,224,CommonPool-13m,False,512.0,151.3,4.602,13.578,50000,12.6,11.0,55.3,,
ViT-B-32,datacomp_s_s13m_b4k,ViT-B-32_datacomp_s_s13m_b4k,CLIP,B,32.0,224,DataComp-13m,False,512.0,151.3,3.91,11.934,50000,11.4,11.0,56.1,,
ViT-B-32,commonpool_s_image_s13m_b4k,ViT-B-32_commonpool_s_image_s13m_b4k,CLIP,B,32.0,224,CommonPool-13m,False,512.0,151.3,3.91,11.934,50000,5.3,11.0,56.1,,
ViT-B-32,commonpool_s_basic_s13m_b4k,ViT-B-32_commonpool_s_basic_s13m_b4k,CLIP,B,32.0,224,CommonPool-13m,False,512.0,151.3,3.766,11.428,50000,9.6,11.0,55.3,,
ViT-B-32,commonpool_s_laion_s13m_b4k,ViT-B-32_commonpool_s_laion_s13m_b4k,CLIP,B,32.0,224,CommonPool-13m,False,512.0,151.3,3.048,9.662,50000,12.3,11.0,55.9,,
ViT-B-32,commonpool_s_s13m_b4k,ViT-B-32_commonpool_s_s13m_b4k,CLIP,B,32.0,224,CommonPool-13m,False,512.0,151.3,2.694,8.948,50000,10.6,10.9,55.5,,
