model_id,model_name,training_objective,arch_family,total_params_M,image_size,training_data,top1_accuracy,worst_group_accuracy,avg_accuracy,accuracy_gap,imagenet_acc,wg_acc,robustness_gap,robustness_ratio
ViT-L-14-quickgelu_dfn2b,ViT-L-14-quickgelu,CLIP,CLIP,427.6,224,DFN-2b,0.8138200000000001,0.76,0.861,0.10099999999999998,0.8138200000000001,0.76,0.05382000000000009,0.9338674399744414
ViT-B-16-SigLIP2-512_webli,ViT-B-16-SigLIP2-512,SigLIP2,SigLIP2,375.8,512,WebLI-10b,0.81274,0.776,0.897,0.121,0.81274,0.776,0.036739999999999995,0.9547948913551689
ViT-H-14-worldwide-quickgelu_metaclip2_worldwide,ViT-H-14-worldwide-quickgelu,CLIP,CLIP,1858.8,224,MetaCLIP2-2.5b,0.81254,0.608,0.825,0.21699999999999997,0.81254,0.608,0.20454000000000006,0.7482708543579393
ViT-bigG-14-quickgelu_metaclip_fullcc,ViT-bigG-14-quickgelu,CLIP,CLIP,2539.6,224,CommonCrawl-2.5b,0.8119799999999999,0.432,0.761,0.329,0.8119799999999999,0.432,0.37997999999999993,0.5320328086898692
ViTamin-L-256_datacomp1b,ViTamin-L-256,CLIP,ViTamin,457.0,256,DataComp-1b,0.8119,0.608,0.829,0.22099999999999997,0.8119,0.608,0.20389999999999997,0.7488606971301884
ViTamin-L2_datacomp1b,ViTamin-L2,CLIP,ViTamin,687.6,224,DataComp-1b,0.8089400000000001,0.472,0.768,0.29600000000000004,0.8089400000000001,0.472,0.33694000000000013,0.5834796152990332
ViTamin-L_datacomp1b,ViTamin-L,CLIP,ViTamin,457.0,224,DataComp-1b,0.8077,0.624,0.835,0.21099999999999997,0.8077,0.624,0.18369999999999997,0.7725640708183732
MobileCLIP2-S3_dfndr2b,MobileCLIP2-S3,CLIP,MobileCLIP2,248.9,256,DFNDR-2b,0.807,0.84,0.884,0.04400000000000004,0.807,0.84,-0.03299999999999992,1.04089219330855
ViT-B-16-SigLIP2-384_webli,ViT-B-16-SigLIP2-384,SigLIP2,SigLIP2,375.5,384,WebLI-10b,0.8065000000000001,0.784,0.903,0.119,0.8065000000000001,0.784,0.022500000000000075,0.9721016738995659
ViT-SO400M-16-SigLIP-i18n-256_webli,ViT-SO400M-16-SigLIP-i18n-256,SigLIP,SigLIP,1127.4,256,WebLI-10b,0.80648,0.8,0.873,0.07299999999999995,0.80648,0.8,0.00647999999999993,0.9919650828290845
ViT-bigG-14_metaclip_fullcc,ViT-bigG-14,CLIP,CLIP,2539.6,224,CommonCrawl-2.5b,0.80594,0.68,0.834,0.15399999999999991,0.80594,0.68,0.12593999999999994,0.84373526565253
ViT-L-14_dfn2b,ViT-L-14,CLIP,CLIP,427.6,224,DFN-2b,0.80548,0.504,0.787,0.28300000000000003,0.80548,0.504,0.30147999999999997,0.6257138600585986
ViT-H-14-quickgelu_metaclip_fullcc,ViT-H-14-quickgelu,CLIP,CLIP,986.1,224,CommonCrawl-2.5b,0.8051,0.208,0.651,0.44300000000000006,0.8051,0.208,0.5971000000000001,0.25835299962737546
ViT-L-16-SigLIP-256_webli,ViT-L-16-SigLIP-256,SigLIP,SigLIP,652.2,256,WebLI-10b,0.80444,0.368,0.747,0.379,0.80444,0.368,0.43644000000000005,0.45746109094525383
EVA02-L-14-336_merged2b_s6b_b61k,EVA02-L-14-336,EVA,EVA,428.1,336,Merged-2b,0.80378,0.616,0.81,0.19400000000000006,0.80378,0.616,0.18778000000000006,0.7663788598870337
