method,seed,epoch,threshold,worst_group_acc,avg_acc
maviasb,1,40,0,0.0,0.7702973555939543
maviasb,1,40,5,0.0,0.7702580763709129
maviasb,1,40,10,0.16,0.7783937367814847
maviasb,1,40,15,0.16,0.7663356134419634
maviasb,1,40,20,0.16,0.7656667992214266
maviasb,1,40,25,0.16,0.7619436661142246
maviasb,1,40,30,0.16,0.7702846651650086
maviasb,1,40,35,0.16,0.7644832978648985
maviasb,1,40,40,0.3703703703703703,0.7906673580043144
maviasb,1,40,45,0.3703703703703703,0.8573750323750324
maviasb,2,40,0,0.0,0.7614844869464187
maviasb,2,40,5,0.0,0.7631752007002176
maviasb,2,40,10,0.0666666666666666,0.7712052926341201
maviasb,2,40,15,0.1282051282051282,0.7586874691088972
maviasb,2,40,20,0.1851851851851851,0.7590753427181385
maviasb,2,40,25,0.1851851851851851,0.7547808932483111
maviasb,2,40,30,0.1851851851851851,0.7645869830201824
maviasb,2,40,35,0.1851851851851851,0.7540645415408466
maviasb,2,40,40,0.4333333333333333,0.8017629341270647
maviasb,2,40,45,0.4444444444444444,0.8698031135531135
erm,0,40,0,0.0,0.755658809350549
erm,0,40,5,0.0,0.750416324945635
erm,0,40,10,0.2,0.7590209095375344
erm,0,40,15,0.2352941176470588,0.7505560025314226
erm,0,40,20,0.2352941176470588,0.7460015425653782
erm,0,40,25,0.2352941176470588,0.7376906088602982
erm,0,40,30,0.28,0.7572709615318215
erm,0,40,35,0.28,0.7490844837596637
erm,0,40,40,0.4646464646464646,0.7807045299708343
erm,0,40,45,0.4646464646464646,0.8511853886853886
erm,1,40,0,0.0,0.7614831722129631
erm,1,40,5,0.0,0.7619334454486375
erm,1,40,10,0.0666666666666666,0.7727075315911037
erm,1,40,15,0.1733333333333333,0.765964469721609
erm,1,40,20,0.1733333333333333,0.7597324680838735
erm,1,40,25,0.1733333333333333,0.7500369905311484
erm,1,40,30,0.1733333333333333,0.7554970267726022
erm,1,40,35,0.1733333333333333,0.7447074298125524
erm,1,40,40,0.3939393939393939,0.7783079139057401
erm,1,40,45,0.3939393939393939,0.8406003718503718
erm,2,40,0,0.0,0.7656264779343197
erm,2,40,5,0.0,0.7652619221405061
erm,2,40,10,0.1333333333333333,0.7731357408236017
erm,2,40,15,0.2222222222222222,0.7594701312702884
erm,2,40,20,0.2222222222222222,0.7534369112702982
erm,2,40,25,0.2222222222222222,0.7493757447932536
erm,2,40,30,0.2933333333333333,0.7621293253289966
erm,2,40,35,0.2933333333333333,0.7424469969877672
erm,2,40,40,0.4646464646464646,0.7767116377985944
erm,2,40,45,0.4646464646464646,0.8214782902282902
debian,0,40,0,0.0,0.7577304489473252
debian,0,40,5,0.0,0.7536974529075302
debian,0,40,10,0.0666666666666666,0.762452562671413
debian,0,40,15,0.2777777777777778,0.7556374811510985
debian,0,40,20,0.2777777777777778,0.7460725373969808
debian,0,40,25,0.2857142857142857,0.7406012636907217
debian,0,40,30,0.3466666666666667,0.7629140136398692
debian,0,40,35,0.3466666666666667,0.7462344147781187
debian,0,40,40,0.4833333333333333,0.7669282981511241
debian,0,40,45,0.5050505050505051,0.8093834406334406
debian,1,21,0,0.0,0.7674564875349301
debian,1,21,5,0.0,0.7646812954864811
debian,1,21,10,0.0666666666666666,0.7763868788648878
debian,1,21,15,0.1904761904761904,0.7741514234213412
debian,1,21,20,0.1904761904761904,0.7605267860840258
debian,1,21,25,0.1904761904761904,0.756781236184143
debian,1,21,30,0.2533333333333333,0.7790132954919522
debian,1,21,35,0.2533333333333333,0.7601439172646108
debian,1,21,40,0.4343434343434343,0.7850047356025618
debian,1,21,45,0.4343434343434343,0.8370923058423058
debian,2,21,0,0.0,0.763340694957576
debian,2,21,5,0.0,0.7626934170493275
debian,2,21,10,0.2,0.7677361562251457
debian,2,21,15,0.238095238095238,0.7516938927823557
debian,2,21,20,0.238095238095238,0.7449567993267723
debian,2,21,25,0.238095238095238,0.7460656650792308
debian,2,21,30,0.3466666666666667,0.7784731941562316
debian,2,21,35,0.3466666666666667,0.7641834644389814
debian,2,21,40,0.4141414141414141,0.7845985596529076
debian,2,21,45,0.4141414141414141,0.8252266252266253
jtt,0,1,0,0.0,0.7119305251905297
jtt,0,1,5,0.0,0.708795322682946
jtt,0,1,10,0.0,0.7105966782513582
jtt,0,1,15,0.282051282051282,0.7076021890307784
jtt,0,1,20,0.3015873015873015,0.714348330697633
jtt,0,1,25,0.3015873015873015,0.7198323412478407
jtt,0,1,30,0.3518518518518518,0.7362383042429226
jtt,0,1,35,0.3518518518518518,0.7392836806423267
jtt,0,1,40,0.404040404040404,0.749831563364172
jtt,0,1,45,0.404040404040404,0.7611131923631923
jtt,1,1,0,0.0,0.7037244132805534
jtt,1,1,5,0.021505376344086,0.6985744134846674
jtt,1,1,10,0.021505376344086,0.6963216480014157
jtt,1,1,15,0.021505376344086,0.6812607337349049
jtt,1,1,20,0.1666666666666666,0.6946039878120267
jtt,1,1,25,0.2063492063492063,0.7029912953120286
jtt,1,1,30,0.2533333333333333,0.7203742171131472
jtt,1,1,35,0.2533333333333333,0.7255289009122852
jtt,1,1,40,0.3333333333333333,0.7175755062168105
jtt,1,1,45,0.3333333333333333,0.7678108928108929
jtt,2,1,0,0.0,0.711507640576116
jtt,2,1,5,0.1111111111111111,0.7082253700580491
jtt,2,1,10,0.1904761904761904,0.7081566544189605
jtt,2,1,15,0.1904761904761904,0.7062587182913428
jtt,2,1,20,0.1904761904761904,0.6953931294134738
