model_name,pretrained_tag,model_id,arch_family,resnet_depth,resnet_multiplier,patch_size,image_size,training_data,quickgelu,embed_dim,total_params_M,avg_accuracy,overall_accuracy,worst_group_accuracy,worst_group,best_group_accuracy,best_group,accuracy_gap,total_images,load_time_s,encode_time_s,acc_blonde_female,acc_blonde_male,acc_non-blonde_female,acc_non-blonde_male,vit_size
coca_ViT-B-32,laion2b_s13b_b90k,coca_ViT-B-32_laion2b_s13b_b90k,ViT,,,32.0,224,LAION-2B,False,512.0,253.6,0.9184951407674582,0.9184951407674582,0.6888888888888889,blonde_male,0.944127405441274,non-blonde_male,0.2296062518785693,19962,11.7,29.2,0.853225806451613,0.6888888888888889,0.9195249308897308,0.944127405441274,B
ViT-B-32-256,datacomp_s34b_b86k,ViT-B-32-256_datacomp_s34b_b86k,ViT,,,32.0,256,DataComp,False,512.0,151.3,0.9182947600440837,0.9182947600440837,0.7222222222222222,blonde_male,0.9510285335102854,non-blonde_male,0.19607253782186151,19962,8.6,32.8,0.9084677419354839,0.7222222222222222,0.899150199651889,0.9510285335102854,B
ViT-B-32,metaclip_fullcc,ViT-B-32_metaclip_fullcc,ViT,,,32.0,224,MetaCLIP,False,512.0,151.3,0.9170924757038373,0.9170924757038373,0.7222222222222222,blonde_male,0.9447909754479098,non-blonde_male,0.19487025348161513,19962,3.3,28.8,0.8830645161290323,0.7222222222222222,0.9079553598853282,0.9447909754479098,B
RN50x16-quickgelu,openai,RN50x16-quickgelu_openai,ResNet,50.0,x16,,384,OpenAI WIT (400M),True,768.0,291.0,0.916240857629496,0.916240857629496,0.7222222222222222,blonde_male,0.951878775468414,non-blonde_female,0.19401863540727382,19962,22.2,99.8,0.7391129032258065,0.7222222222222222,0.951878775468414,0.9329794293297943,
ViT-g-14,laion2b_s12b_b42k,ViT-g-14_laion2b_s12b_b42k,ViT,,,14.0,224,LAION-2B,False,1024.0,1366.7,0.9157900010019037,0.9157900010019037,0.7722222222222223,blonde_male,0.9394824153948241,non-blonde_male,0.1435677787796814,19962,58.3,138.4,0.896774193548387,0.7722222222222223,0.9049861779461452,0.9394824153948241,g
MobileCLIP-S1,datacompdr,MobileCLIP-S1_datacompdr,MobileCLIP,,,,256,DataComp,False,,85.0,0.9155896202785292,0.9155896202785292,0.85,blonde_male,0.9244394389269991,non-blonde_female,0.06558962027852921,19962,6.0,40.5,0.8713709677419355,0.85,0.9244394389269991,0.9202388852023888,
ViT-B-16,dfn2b,ViT-B-16_dfn2b,ViT,,,16.0,224,DFN,False,512.0,149.6,0.9150385732892495,0.9150385732892495,0.7333333333333333,blonde_male,0.9454545454545454,non-blonde_male,0.18170523995591625,19962,8.5,34.2,0.9112903225806451,0.7333333333333333,0.8958738609603768,0.9454545454545454,B
ViT-B-16,metaclip_400m,ViT-B-16_metaclip_400m,ViT,,,16.0,224,MetaCLIP,False,512.0,149.6,0.9146879070233443,0.9146879070233443,0.6444444444444445,blonde_male,0.9376244193762442,non-blonde_male,0.27024346257889986,19962,2.9,34.1,0.8383064516129032,0.6444444444444445,0.9213678714037064,0.9376244193762442,B
PE-Core-L-14-336,meta,PE-Core-L-14-336_meta,Other,,,,336,meta,False,,671.1,0.9146879070233443,0.9146879070233443,0.5833333333333334,blonde_male,0.9514266755142667,non-blonde_male,0.331354573690011,19962,32.5,131.1,0.902016129032258,0.5833333333333334,0.8956690897921573,0.9514266755142667,
ViT-H-14,metaclip_fullcc,ViT-H-14_metaclip_fullcc,ViT,,,14.0,224,MetaCLIP,False,1024.0,986.1,0.9138362889490032,0.9138362889490032,0.7277777777777777,blonde_male,0.9368281353682814,non-blonde_male,0.1860585111712254,19962,42.2,99.9,0.9048387096774193,0.7277777777777777,0.9018122248387427,0.9368281353682814,H
ViT-B-32,datacomp_xl_s13b_b90k,ViT-B-32_datacomp_xl_s13b_b90k,ViT,,,32.0,224,DataComp,False,512.0,151.3,0.9138362889490032,0.9138362889490032,0.8333333333333334,blonde_male,0.9337757133377571,non-blonde_male,0.08050295561566978,19962,5.6,29.0,0.9201612903225806,0.8333333333333334,0.898331114979011,0.9337757133377571,B
ViTamin-B-LTT,datacomp1b,ViTamin-B-LTT_datacomp1b,ViT,,,,224,DataComp,False,,211.4,0.9135357178639415,0.9135357178639415,0.8111111111111111,blonde_male,0.9230258792302588,non-blonde_male,0.10242460675283038,19962,4.5,42.8,0.8870967741935484,0.8111111111111111,0.9148151940206819,0.9230258792302588,
ViT-B-32-quickgelu,metaclip_400m,ViT-B-32-quickgelu_metaclip_400m,ViT,,,32.0,224,MetaCLIP,True,512.0,151.3,0.9135357178639415,0.9135357178639415,0.7055555555555556,blonde_male,0.9474452554744526,non-blonde_male,0.2079801623083859,19962,8.7,29.7,0.8891129032258065,0.7055555555555556,0.8974096447220231,0.9474452554744526,B
MobileCLIP-B,datacompdr_lt,MobileCLIP-B_datacompdr_lt,MobileCLIP,,,,224,DataComp,False,,149.8,0.9127842901512875,0.9127842901512875,0.8166666666666667,blonde_male,0.9234240212342402,non-blonde_male,0.09611762348462083,19962,8.7,29.1,0.9032258064516129,0.8166666666666667,0.9087744445582062,0.9234240212342402,
ViT-L-14,dfn2b_s39b,ViT-L-14_dfn2b_s39b,ViT,,,14.0,224,DFN,False,768.0,427.6,0.9125338142470695,0.9125338142470695,0.8277777777777777,blonde_male,0.9335102853351028,non-blonde_male,0.08475603646929175,19962,20.3,62.7,0.9185483870967742,0.8277777777777777,0.8963857888809256,0.9335102853351028,L
ViT-B-16,commonpool_l_basic_s1b_b8k,ViT-B-16_commonpool_l_basic_s1b_b8k,ViT,,,16.0,224,CommonPool,False,512.0,149.6,0.912333433523695,0.912333433523695,0.6277777777777778,blonde_male,0.9625746516257465,non-blonde_male,0.28455565574591724,19962,8.6,34.2,0.8971774193548387,0.6277777777777778,0.8826661206102181,0.9625746516257465,B
coca_ViT-L-14,mscoco_finetuned_laion2b_s13b_b90k,coca_ViT-L-14_mscoco_finetuned_laion2b_s13b_b90k,ViT,,,14.0,224,LAION-2B,False,768.0,638.5,0.9122833383428515,0.9122833383428515,0.8277777777777777,blonde_male,0.9268966929456333,non-blonde_female,0.08450556056507375,19962,26.3,63.5,0.8568548387096774,0.8277777777777777,0.9268966929456333,0.9136031851360319,L
ViT-B-16-plus-240,laion400m_e31,ViT-B-16-plus-240_laion400m_e31,ViT,,,16.0,240,LAION-400M,False,640.0,208.4,0.9122332431620078,0.9122332431620078,0.7444444444444445,blonde_male,0.9358991373589913,non-blonde_male,0.16778879871756336,19962,11.0,40.2,0.9125,0.7444444444444445,0.8970001023855841,0.9358991373589913,B
ViT-B-16-plus-240,laion400m_e32,ViT-B-16-plus-240_laion400m_e32,ViT,,,16.0,240,LAION-400M,False,640.0,208.4,0.9122332431620078,0.9122332431620078,0.7444444444444445,blonde_male,0.9358991373589913,non-blonde_male,0.16778879871756336,19962,1.9,40.0,0.9125,0.7444444444444445,0.8970001023855841,0.9358991373589913,B
RN50x16,openai,RN50x16_openai,ResNet,50.0,x16,,384,OpenAI WIT (400M),False,768.0,291.0,0.9119827672577898,0.9119827672577898,0.7333333333333333,blonde_male,0.9494215214497799,non-blonde_female,0.17864943392445654,19962,2.8,104.8,0.7504032258064516,0.7333333333333333,0.9494215214497799,0.9209024552090246,
ViTamin-L2-336,datacomp1b,ViTamin-L2-336_datacomp1b,ViT,,,,336,DataComp,False,,687.9,0.9116321009918846,0.9116321009918846,0.7944444444444444,blonde_male,0.9244857332448573,non-blonde_male,0.11718765654744023,19962,12.8,135.1,0.8665322580645162,0.7944444444444444,0.9153271219412307,0.9244857332448573,
EVA02-L-14,merged2b_s4b_b131k,EVA02-L-14_merged2b_s4b_b131k,EVA,,,14.0,224,Merged,False,,427.8,0.9109808636409178,0.9109808636409178,0.7222222222222222,blonde_male,0.9443928334439283,non-blonde_male,0.18875864141869558,19962,13.7,77.8,0.9181451612903225,0.7222222222222222,0.8868639295587182,0.9443928334439283,
RN101,openai,RN101_openai,ResNet,101.0,x1,,224,OpenAI WIT (400M),False,512.0,119.7,0.9108806732792305,0.9109307684600741,0.6388888888888888,blonde_male,0.93271400132714,non-blonde_male,0.27199178439034166,19962,1.4,33.0,0.7983870967741935,0.6388888888888888,0.9277157776185113,0.93271400132714,
ViT-B-32,metaclip_400m,ViT-B-32_metaclip_400m,ViT,,,32.0,224,MetaCLIP,False,512.0,151.3,0.9106802925558561,0.9106802925558561,0.7111111111111111,blonde_male,0.9397478433974784,non-blonde_male,0.199569181444745,19962,8.6,29.4,0.8887096774193548,0.7111111111111111,0.8975120303061329,0.9397478433974784,B
RN50x4-quickgelu,openai,RN50x4-quickgelu_openai,ResNet,50.0,x4,,288,OpenAI WIT (400M),True,640.0,178.3,0.9106301973750125,0.9106301973750125,0.6333333333333333,blonde_male,0.9407187468004505,non-blonde_female,0.2772968640416792,19962,19.1,50.5,0.7899193548387097,0.6333333333333333,0.9407187468004505,0.9179827471798274,
ViT-B-16,commonpool_l_image_s1b_b8k,ViT-B-16_commonpool_l_image_s1b_b8k,ViT,,,16.0,224,CommonPool,False,512.0,149.6,0.9105300070133253,0.9105300070133253,0.45,blonde_male,0.9599203715992037,non-blonde_male,0.4605300070133253,19962,8.4,34.3,0.6983870967741935,0.45,0.9347803829220845,0.9599203715992037,B
MobileCLIP-S2,datacompdr,MobileCLIP-S2_datacompdr,MobileCLIP,,,,256,DataComp,False,,99.2,0.9101793407474201,0.9101793407474201,0.8444444444444444,blonde_male,0.9178867615439746,non-blonde_female,0.06573489630297569,19962,6.3,41.7,0.8709677419354839,0.8444444444444444,0.9178867615439746,0.914664897146649,
xlm-roberta-large-ViT-H-14,frozen_laion5b_s13b_b90k,xlm-roberta-large-ViT-H-14_frozen_laion5b_s13b_b90k,ViT,,,14.0,224,frozen_laion5b_s13b_b90k,False,1024.0,1193.0,0.9099789600240457,0.9099789600240457,0.8055555555555556,blonde_male,0.9296615792966157,non-blonde_male,0.10442340446849008,19962,92.5,99.2,0.9040322580645161,0.8055555555555556,0.8982287293949012,0.9296615792966157,H
ViTamin-L2-256,datacomp1b,ViTamin-L2-256_datacomp1b,ViT,,,,256,DataComp,False,,687.7,0.9099789600240457,0.9099789600240457,0.7944444444444444,blonde_male,0.9223623092236231,non-blonde_male,0.11553451557960126,19962,12.4,80.4,0.8830645161290323,0.7944444444444444,0.9093887580628648,0.9223623092236231,
MobileCLIP-B,datacompdr,MobileCLIP-B_datacompdr,MobileCLIP,,,,224,DataComp,False,,149.8,0.9099288648432021,0.9099288648432021,0.8722222222222222,blonde_male,0.9190444591904446,non-blonde_male,0.03770664262097989,19962,9.3,29.1,0.8959677419354839,0.8722222222222222,0.9071362752124501,0.9190444591904446,
nllb-clip-large,v1,nllb-clip-large_v1,Other,,,,224,v1,False,1024.0,1399.2,0.9096282937581405,0.9096282937581405,0.21666666666666667,blonde_male,0.9917717319177173,non-blonde_male,0.6929616270914738,19962,77.3,99.5,0.7391129032258065,0.21666666666666667,0.9023241527592915,0.9917717319177173,
ViTamin-L2-384,datacomp1b,ViTamin-L2-384_datacomp1b,ViT,,,,384,DataComp,False,,688.0,0.9095281033964533,0.9095281033964533,0.7888888888888889,blonde_male,0.9199344732261697,non-blonde_female,0.12063921450756443,19962,12.8,175.9,0.8467741935483871,0.7888888888888889,0.9199344732261697,0.9195753151957532,
ViTamin-S-LTT,datacomp1b,ViTamin-S-LTT_datacomp1b,ViT,,,,224,DataComp,False,,145.8,0.9093778178539225,0.9093778178539225,0.8333333333333334,blonde_male,0.9125414731254148,non-blonde_male,0.0760444845205891,19962,2.8,32.5,0.9076612903225807,0.8333333333333334,0.9087744445582062,0.9125414731254148,
ViT-B-16,datacomp_l_s1b_b8k,ViT-B-16_datacomp_l_s1b_b8k,ViT,,,16.0,224,DataComp,False,512.0,149.6,0.9092776274922353,0.9092776274922353,0.6444444444444445,blonde_male,0.9518248175182482,non-blonde_male,0.2648331830477908,19962,8.6,34.1,0.6786290322580645,0.6444444444444445,0.9398996621275725,0.9518248175182482,B
roberta-ViT-B-32,laion2b_s12b_b32k,roberta-ViT-B-32_laion2b_s12b_b32k,ViT,,,32.0,224,LAION-2B,False,512.0,212.7,0.9092275323113916,0.9092275323113916,0.7777777777777778,blonde_male,0.9325812873258129,non-blonde_male,0.13144975453361385,19962,11.7,28.9,0.9084677419354839,0.7777777777777778,0.8938261492781816,0.9325812873258129,B
ViTamin-B,datacomp1b,ViTamin-B_datacomp1b,ViT,,,,224,DataComp,False,,151.0,0.90892696122633,0.9089770564071736,0.7,blonde_male,0.9381552753815527,non-blonde_male,0.20892696122633003,19962,3.4,42.5,0.8657258064516129,0.7,0.9013002969181939,0.9381552753815527,
PE-Core-T-16-384,meta,PE-Core-T-16-384_meta,Other,,,,384,meta,False,,69.5,0.908676485322112,0.9087265805029556,0.7,blonde_male,0.9491705374917053,non-blonde_male,0.20867648532211203,19962,6.0,44.7,0.9318548387096774,0.7,0.8754991297225351,0.9491705374917053,
ViT-B-32-SigLIP2-256,webli,ViT-B-32-SigLIP2-256_webli,ViT,,,32.0,256,WebLI,False,,376.9,0.9082757238753632,0.9082757238753632,0.8666666666666667,blonde_male,0.9310483870967742,blonde_female,0.041609057208696454,19962,22.9,31.3,0.9310483870967742,0.8666666666666667,0.8938261492781816,0.9205043132050431,B
ViT-SO400M-14-SigLIP,webli,ViT-SO400M-14-SigLIP_webli,ViT,,,,224,WebLI,False,,877.4,0.908175533513676,0.908175533513676,0.8611111111111112,blonde_male,0.9198407431984075,non-blonde_male,0.04706442240256481,19962,40.7,67.1,0.9173387096774194,0.8611111111111112,0.8977168014743524,0.9198407431984075,
ViTamin-L2,datacomp1b,ViTamin-L2_datacomp1b,ViT,,,,224,DataComp,False,,687.6,0.9075242961627091,0.9075242961627091,0.8055555555555556,blonde_male,0.9163901791639018,non-blonde_male,0.10196874060715355,19962,12.3,65.8,0.8778225806451613,0.8055555555555556,0.910105457151633,0.9163901791639018,
ViT-L-14,laion400m_e31,ViT-L-14_laion400m_e31,ViT,,,14.0,224,LAION-400M,False,768.0,427.6,0.9072237250776475,0.9072237250776475,0.7222222222222222,blonde_male,0.9335102853351028,non-blonde_male,0.18500150285542527,19962,20.0,62.4,0.9229838709677419,0.7222222222222222,0.8863520016381693,0.9335102853351028,L
RN50x64,openai,RN50x64_openai,ResNet,50.0,x64,,448,OpenAI WIT (400M),False,1024.0,623.3,0.9069732491734295,0.9069732491734295,0.7555555555555555,blonde_male,0.9174518911745189,non-blonde_male,0.15141769361787394,19962,5.3,204.5,0.8758064516129033,0.7555555555555555,0.9095935292310843,0.9174518911745189,
ViT-B-16,commonpool_l_laion_s1b_b8k,ViT-B-16_commonpool_l_laion_s1b_b8k,ViT,,,16.0,224,CommonPool,False,512.0,149.6,0.9068730588117423,0.9068730588117423,0.5666666666666667,blonde_male,0.9600530856005308,non-blonde_male,0.34020639214507564,19962,8.6,34.2,0.8955645161290322,0.5666666666666667,0.8749872018019863,0.9600530856005308,B
ViT-B-16-quickgelu,metaclip_400m,ViT-B-16-quickgelu_metaclip_400m,ViT,,,16.0,224,MetaCLIP,True,512.0,149.6,0.9068229636308988,0.9068229636308988,0.7611111111111111,blonde_male,0.9250165892501659,non-blonde_male,0.1457118525197877,19962,8.6,35.6,0.8943548387096775,0.7611111111111111,0.8986382717313403,0.9250165892501659,B
RN50x4,openai,RN50x4_openai,ResNet,50.0,x4,,288,OpenAI WIT (400M),False,640.0,178.3,0.9066726780883679,0.9066726780883679,0.6611111111111111,blonde_male,0.9321183577352309,non-blonde_female,0.24556156697725684,19962,1.8,49.9,0.8298387096774194,0.6611111111111111,0.9321183577352309,0.9048440610484406,
convnext_base_w,laion_aesthetic_s13b_b82k,convnext_base_w_laion_aesthetic_s13b_b82k,ConvNeXt,,,,256,laion_aesthetic_s13b_b82k,False,,179.4,0.9065223925458371,0.9065223925458371,0.8055555555555556,blonde_male,0.9287325812873258,non-blonde_male,0.10096683699028153,19962,10.0,43.2,0.927016129032258,0.8055555555555556,0.8860448448858401,0.9287325812873258,
ViT-g-14,laion2b_s34b_b88k,ViT-g-14_laion2b_s34b_b88k,ViT,,,14.0,224,LAION-2B,False,1024.0,1366.7,0.9063220118224626,0.9063220118224626,0.8055555555555556,blonde_male,0.9216987392169874,non-blonde_male,0.10076645626690706,19962,61.4,138.2,0.8995967741935483,0.8055555555555556,0.8980239582266817,0.9216987392169874,g
ViT-B-16-SigLIP2-512,webli,ViT-B-16-SigLIP2-512_webli,ViT,,,16.0,512,WebLI,False,,375.8,0.9063220118224626,0.9063220118224626,0.8666666666666667,blonde_male,0.9278225806451613,blonde_female,0.03965534515579594,19962,39.4,117.0,0.9278225806451613,0.8666666666666667,0.8936213781099621,0.916655607166556,B
ViT-bigG-14,metaclip_fullcc,ViT-bigG-14_metaclip_fullcc,ViT,,,14.0,224,MetaCLIP,False,1280.0,2539.6,0.9059212503757138,0.9059212503757138,0.7833333333333333,blonde_male,0.9398805573988056,non-blonde_male,0.12258791704238048,19962,218.8,224.0,0.9379032258064516,0.7833333333333333,0.873860960376779,0.9398805573988056,bigG
ViT-B-16,laion2b_s34b_b88k,ViT-B-16_laion2b_s34b_b88k,ViT,,,16.0,224,LAION-2B,False,512.0,149.6,0.9054703937481214,0.9054703937481214,0.8111111111111111,blonde_male,0.9262110152621101,non-blonde_male,0.09435928263701032,19962,8.2,33.8,0.9254032258064516,0.8111111111111111,0.8861472304699498,0.9262110152621101,B
ViT-B-16-SigLIP2,webli,ViT-B-16-SigLIP2_webli,ViT,,,16.0,224,WebLI,False,,375.2,0.905270013024747,0.905270013024747,0.8722222222222222,blonde_male,0.9375,blonde_female,0.033047790802524735,19962,21.9,33.0,0.9375,0.8722222222222222,0.8899354970820108,0.9153284671532846,B
convnext_base_w,laion2b_s13b_b82k,convnext_base_w_laion2b_s13b_b82k,ConvNeXt,,,,256,LAION-2B,False,,179.4,0.9051698226630598,0.9051698226630598,0.7555555555555555,blonde_male,0.9141340411413404,non-blonde_male,0.14961426710750425,19962,9.8,43.4,0.8887096774193548,0.7555555555555555,0.9051909491143647,0.9141340411413404,
ViT-L-14,laion400m_e32,ViT-L-14_laion400m_e32,ViT,,,14.0,224,LAION-400M,False,768.0,427.6,0.9050696323013726,0.9050696323013726,0.7277777777777777,blonde_male,0.9292634372926344,non-blonde_male,0.17729185452359486,19962,19.9,62.6,0.9266129032258065,0.7277777777777777,0.8842019043718644,0.9292634372926344,L
ViT-B-16,openai,ViT-B-16_openai,ViT,,,16.0,224,OpenAI WIT (400M),False,512.0,149.6,0.9049694419396854,0.9049694419396854,0.6944444444444444,blonde_male,0.9143032661001331,non-blonde_female,0.210524997495241,19962,2.9,33.9,0.855241935483871,0.6944444444444444,0.9143032661001331,0.9142667551426675,B
EVA02-B-16,merged2b_s8b_b131k,EVA02-B-16_merged2b_s8b_b131k,EVA,,,16.0,224,Merged,False,,149.7,0.9048191563971546,0.9048191563971546,0.7722222222222223,blonde_male,0.9234240212342402,non-blonde_male,0.13259693417493235,19962,6.3,37.6,0.907258064516129,0.7722222222222223,0.8922903655165353,0.9234240212342402,
ViT-SO400M-14-SigLIP-384,webli,ViT-SO400M-14-SigLIP-384_webli,ViT,,,,384,WebLI,False,,878.0,0.9048191563971546,0.9048191563971546,0.8924951366847548,non-blonde_female,0.9278225806451613,blonde_female,0.012324019712399825,19962,8.6,182.4,0.9278225806451613,0.9055555555555556,0.8924951366847548,0.9132050431320504,
ViT-L-14,datacomp_xl_s13b_b90k,ViT-L-14_datacomp_xl_s13b_b90k,ViT,,,14.0,224,DataComp,False,768.0,427.6,0.904769061216311,0.904769061216311,0.8055555555555556,blonde_male,0.9145321831453218,non-blonde_male,0.09921350566075537,19962,20.4,62.1,0.8641129032258065,0.8055555555555556,0.9093887580628648,0.9145321831453218,L
ViT-B-32-quickgelu,metaclip_fullcc,ViT-B-32-quickgelu_metaclip_fullcc,ViT,,,32.0,224,MetaCLIP,True,512.0,151.3,0.9042681094078749,0.9042681094078749,0.8055555555555556,blonde_male,0.924220305242203,non-blonde_male,0.09871255385231936,19962,9.0,29.6,0.9064516129032258,0.8055555555555556,0.8901402682502304,0.924220305242203,B
ViT-B-16-SigLIP2-384,webli,ViT-B-16-SigLIP2-384_webli,ViT,,,16.0,384,WebLI,False,,375.5,0.9042180142270314,0.9042180142270314,0.8666666666666667,blonde_male,0.932258064516129,blonde_female,0.03755134756036471,19962,21.4,73.7,0.932258064516129,0.8666666666666667,0.8907545817548889,0.9133377571333776,B
ViT-B-32,laion400m_e32,ViT-B-32_laion400m_e32,ViT,,,32.0,224,LAION-400M,False,512.0,151.3,0.9041679190461878,0.9041679190461878,0.7777777777777778,blonde_male,0.9120967741935484,blonde_female,0.12639014126840997,19962,1.4,28.8,0.9120967741935484,0.7777777777777778,0.8998668987406573,0.9101526211015262,B
ViT-B-16-SigLIP2-256,webli,ViT-B-16-SigLIP2-256_webli,ViT,,,16.0,256,WebLI,False,,375.2,0.9038172527802826,0.9038172527802826,0.8666666666666667,blonde_male,0.9294354838709677,blonde_female,0.03715058611361588,19962,21.4,38.8,0.9294354838709677,0.8666666666666667,0.8917784375959865,0.911877903118779,B
ViT-SO400M-14-SigLIP-378,webli,ViT-SO400M-14-SigLIP-378_webli,ViT,,,,378,WebLI,False,,878.0,0.9037671575994389,0.9037671575994389,0.8833333333333333,blonde_male,0.9294354838709677,blonde_female,0.020433824266105627,19962,43.0,179.6,0.9294354838709677,0.8833333333333333,0.8903450394184499,0.9132050431320504,
ViT-B-16-quickgelu,metaclip_fullcc,ViT-B-16-quickgelu_metaclip_fullcc,ViT,,,16.0,224,MetaCLIP,True,512.0,149.6,0.9036168720569081,0.9036168720569081,0.6944444444444444,blonde_male,0.9311214333112143,non-blonde_male,0.20917242761246368,19962,8.8,35.7,0.9028225806451613,0.6944444444444444,0.8864543872222791,0.9311214333112143,B
convnext_base_w_320,laion_aesthetic_s13b_b82k,convnext_base_w_320_laion_aesthetic_s13b_b82k,ConvNeXt,,,,320,laion_aesthetic_s13b_b82k,False,,179.4,0.9034164913335337,0.9034164913335337,0.8,blonde_male,0.9294354838709677,blonde_female,0.1034164913335337,19962,10.0,60.3,0.9294354838709677,0.8,0.8861472304699498,0.9197080291970803,
ViT-B-32,laion400m_e31,ViT-B-32_laion400m_e31,ViT,,,32.0,224,LAION-400M,False,512.0,151.3,0.9032161106101593,0.9032161106101593,0.8,blonde_male,0.9108870967741935,blonde_female,0.10321611061015923,19962,1.5,28.8,0.9108870967741935,0.8,0.9007883689976451,0.9063039150630392,B
EVA02-L-14-336,merged2b_s6b_b61k,EVA02-L-14-336_merged2b_s6b_b61k,EVA,,,14.0,336,Merged,False,,428.1,0.9031660154293157,0.9031660154293157,0.7888888888888889,blonde_male,0.9370967741935484,blonde_female,0.11427712654042688,19962,13.7,178.9,0.9370967741935484,0.7888888888888889,0.8744752738814375,0.9319177173191772,
ViT-B-16,metaclip_fullcc,ViT-B-16_metaclip_fullcc,ViT,,,16.0,224,MetaCLIP,False,512.0,149.6,0.9020639214507564,0.9020639214507564,0.6944444444444444,blonde_male,0.9171864631718646,non-blonde_male,0.207619477006312,19962,8.9,33.8,0.8814516129032258,0.6944444444444444,0.8994573564042183,0.9171864631718646,B
ViT-bigG-14-quickgelu,metaclip_fullcc,ViT-bigG-14-quickgelu_metaclip_fullcc,ViT,,,14.0,224,MetaCLIP,True,1280.0,2539.6,0.9015128744614768,0.9015128744614768,0.7944444444444444,blonde_male,0.9370967741935484,blonde_female,0.10706843001703237,19962,205.6,263.4,0.9370967741935484,0.7944444444444444,0.874680045049657,0.9271400132714002,bigG
coca_ViT-L-14,laion2b_s13b_b90k,coca_ViT-L-14_laion2b_s13b_b90k,ViT,,,14.0,224,LAION-2B,False,768.0,638.5,0.9011622081955716,0.9011622081955716,0.7888888888888889,blonde_male,0.9070338896283403,non-blonde_female,0.11227331930668272,19962,26.7,63.0,0.8782258064516129,0.7888888888888889,0.9070338896283403,0.9037823490378235,L
