model_name,pretrained_tag,model_id,arch_family,resnet_depth,resnet_multiplier,patch_size,image_size,training_data,quickgelu,embed_dim,total_params_M,avg_accuracy,overall_accuracy,worst_group_accuracy,worst_group,best_group_accuracy,best_group,accuracy_gap,total_images,load_time_s,encode_time_s,acc_blonde_female,acc_blonde_male,acc_non-blonde_female,acc_non-blonde_male,vit_size
RN50x4,openai,RN50x4_openai,ResNet,50.0,x4,,288,OpenAI-400m,False,640.0,178.3,0.906672678088368,0.906672678088368,0.6611111111111111,blonde_male,0.9321183577352308,non-blonde_female,0.2455615669772568,19962,1.8,49.9,0.8298387096774194,0.6611111111111111,0.9321183577352308,0.9048440610484406,
convnext_base_w,laion_aesthetic_s13b_b82k,convnext_base_w_laion_aesthetic_s13b_b82k,ConvNeXt,,,,256,LAION-A-900m,False,,179.4,0.9065223925458372,0.9065223925458372,0.8055555555555556,blonde_male,0.9287325812873258,non-blonde_male,0.1009668369902815,19962,10.0,43.2,0.927016129032258,0.8055555555555556,0.8860448448858401,0.9287325812873258,
ViT-g-14,laion2b_s34b_b88k,ViT-g-14_laion2b_s34b_b88k,CLIP,,,14.0,224,LAION-2b,False,1024.0,1366.7,0.9063220118224626,0.9063220118224626,0.8055555555555556,blonde_male,0.9216987392169874,non-blonde_male,0.100766456266907,19962,61.4,138.2,0.8995967741935483,0.8055555555555556,0.8980239582266817,0.9216987392169874,g
ViT-B-16-SigLIP2-512,webli,ViT-B-16-SigLIP2-512_webli,SigLIP2,,,16.0,512,WebLI-10b,False,,375.8,0.9063220118224626,0.9063220118224626,0.8666666666666667,blonde_male,0.9278225806451612,blonde_female,0.0396553451557959,19962,39.4,117.0,0.9278225806451612,0.8666666666666667,0.8936213781099621,0.916655607166556,B
ViT-bigG-14,metaclip_fullcc,ViT-bigG-14_metaclip_fullcc,CLIP,,,14.0,224,CommonCrawl-2.5b,False,1280.0,2539.6,0.9059212503757138,0.9059212503757138,0.7833333333333333,blonde_male,0.9398805573988056,non-blonde_male,0.1225879170423804,19962,218.8,224.0,0.9379032258064516,0.7833333333333333,0.873860960376779,0.9398805573988056,bigG
ViT-B-16,laion2b_s34b_b88k,ViT-B-16_laion2b_s34b_b88k,CLIP,,,16.0,224,LAION-2b,False,512.0,149.6,0.9054703937481214,0.9054703937481214,0.8111111111111111,blonde_male,0.92621101526211,non-blonde_male,0.0943592826370103,19962,8.2,33.8,0.9254032258064516,0.8111111111111111,0.8861472304699498,0.92621101526211,B
ViT-B-16-SigLIP2,webli,ViT-B-16-SigLIP2_webli,SigLIP2,,,16.0,224,WebLI-10b,False,,375.2,0.905270013024747,0.905270013024747,0.8722222222222222,blonde_male,0.9375,blonde_female,0.0330477908025247,19962,21.9,33.0,0.9375,0.8722222222222222,0.8899354970820108,0.9153284671532846,B
convnext_base_w,laion2b_s13b_b82k,convnext_base_w_laion2b_s13b_b82k,ConvNeXt,,,,256,LAION-2b,False,,179.4,0.9051698226630598,0.9051698226630598,0.7555555555555555,blonde_male,0.9141340411413404,non-blonde_male,0.1496142671075042,19962,9.8,43.4,0.8887096774193548,0.7555555555555555,0.9051909491143648,0.9141340411413404,
ViT-L-14,laion400m_e32,ViT-L-14_laion400m_e32,CLIP,,,14.0,224,LAION-400m,False,768.0,427.6,0.9050696323013726,0.9050696323013726,0.7277777777777777,blonde_male,0.9292634372926344,non-blonde_male,0.1772918545235948,19962,19.9,62.6,0.9266129032258064,0.7277777777777777,0.8842019043718644,0.9292634372926344,L
ViT-B-16,openai,ViT-B-16_openai,CLIP,,,16.0,224,OpenAI-400m,False,512.0,149.6,0.9049694419396854,0.9049694419396854,0.6944444444444444,blonde_male,0.9143032661001332,non-blonde_female,0.210524997495241,19962,2.9,33.9,0.855241935483871,0.6944444444444444,0.9143032661001332,0.9142667551426676,B
